315489,78,47697292,838867516
315489,78,47697292,838878273
315489,78,47580939,838935350
315489,78,47752016,838871739
315489,78,47752016,838872677
315489,78,47752016,838873268
315489,78,47763534,838930750
315489,78,47588429,838901857
315489,78,47591310,838880592
315489,78,47591310,838884180
315489,78,47618378,838886929
315489,78,47464012,838871799
315489,78,47464012,838876401
315489,78,47464012,838876405
315489,78,47670221,838900422
315489,78,47838986,838866625
315489,78,47682314,838953218
315489,78,47866057,838953218
315489,78,47957646,838935330
315489,78,47928269,838866625
315489,78,47523917,838929623
315489,78,47580999,838866625
315489,78,47580999,838928425
315489,78,47580999,838928937
315489,78,47456005,838939766
315489,78,47806786,838900422
315489,78,47423171,838929623
315489,78,47904132,838873741
315489,78,47892037,838936747
315489,78,47937543,838872677
315489,78,47937543,838930593
315489,78,47937543,838935350
315489,78,47937543,838936747
315489,78,47747462,838943238
315489,78,47747462,838945295
315489,78,47747462,838949393
315489,78,47710598,838884180
315489,78,47515336,838885953
315489,78,47616134,838943238
315489,78,47616134,838945295
315489,78,47616134,838949393
315489,78,47441603,838889572
315489,78,47546433,838965090
315489,78,47924871,838932036
315489,78,47942147,838880592
315489,78,47942147,838884180
